condition,subject,session,cycle,trial,test,stimulus,category,response,dangerous,nutricious,correct,cumulative,RT,motivation,competence,communication,complement
1,1,1,1,27,0,11101.jpg,3,3,1,0,1,1900,6723,1,1,1.5,1
1,1,1,1,28,0,10010.jpg,2,4,0,1,0,1800,12768,1,1,1.5,1
1,1,1,1,29,0,10110.jpg,4,4,1,1,1,1900,7259,1,1,1.5,1
1,1,1,1,30,0,00101.jpg,1,3,0,0,0,1800,44840,1,1,1.5,1
1,1,1,1,31,0,10001.jpg,1,3,0,0,0,1700,13414,1,1,1.5,1
1,1,1,1,32,0,10010.jpg,2,2,0,1,1,1800,42877,1,1,1.5,1
1,1,1,2,33,0,01010.jpg,2,2,0,1,1,1900,10539,1,1,1.5,1
1,1,1,2,34,0,01110.jpg,2,2,0,1,1,2000,5567,1,1,1.5,1
1,1,1,2,35,0,00101.jpg,1,1,0,0,1,2100,46999,1,1,1.5,1
1,1,1,2,36,0,11010.jpg,2,2,0,1,1,2200,37312,1,1,1.5,1
1,1,1,2,37,0,00100.jpg,1,1,0,0,1,2300,15005,1,1,1.5,1
1,1,1,2,38,0,11101.jpg,3,3,1,0,1,2400,15214,1,1,1.5,1
1,1,1,2,39,0,00000.jpg,1,1,0,0,1,2500,21813,1,1,1.5,1
1,1,1,2,40,0,00100.jpg,1,1,0,0,1,2600,25438,1,1,1.5,1
1,1,1,2,41,0,10010.jpg,2,4,0,1,0,2500,14541,1,1,1.5,1
1,1,1,2,42,0,00111.jpg,2,4,0,1,0,2400,7722,1,1,1.5,1
1,1,1,2,43,0,00101.jpg,1,1,0,0,1,2500,38381,1,1,1.5,1
1,1,1,2,44,0,10100.jpg,3,1,1,0,0,2400,31455,1,1,1.5,1
1,1,1,2,45,0,10100.jpg,3,3,1,0,1,2500,6405,1,1,1.5,1
1,1,1,2,46,0,01100.jpg,1,1,0,0,1,2600,36877,1,1,1.5,1
1,1,1,2,47,0,01100.jpg,1,1,0,0,1,2700,5699,1,1,1.5,1
1,1,1,2,48,0,10111.jpg,4,4,1,1,1,2800,9880,1,1,1.5,1
1,1,1,2,49,0,11010.jpg,2,2,0,1,1,2900,75830,1,1,1.5,1
1,1,1,2,50,0,11110.jpg,4,4,1,1,1,3000,31964,1,1,1.5,1
1,1,1,2,51,0,01000.jpg,1,1,0,0,1,3100,32932,1,1,1.5,1
1,1,1,2,52,0,00001.jpg,1,1,0,0,1,3200,4097,1,1,1.5,1
1,1,1,2,53,0,00011.jpg,2,2,0,1,1,3300,10310,1,1,1.5,1
1,1,1,2,54,0,01000.jpg,1,1,0,0,1,3400,3698,1,1,1.5,1
1,1,1,2,55,0,10101.jpg,3,4,1,0,0,3300,23840,1,1,1.5,1
1,1,1,2,56,0,11011.jpg,2,4,0,1,0,3200,30631,1,1,1.5,1
1,1,1,2,57,0,01010.jpg,2,2,0,1,1,3300,17157,1,1,1.5,1
1,1,1,2,58,0,01011.jpg,2,2,0,1,1,3400,45104,1,1,1.5,1
1,1,1,2,59,0,10110.jpg,4,4,1,1,1,3500,7564,1,1,1.5,1
1,1,1,2,60,0,11110.jpg,4,4,1,1,1,3600,9542,1,1,1.5,1
1,1,1,2,61,0,11010.jpg,2,4,0,1,0,3500,22472,1,1,1.5,1
1,1,1,2,62,0,10001.jpg,1,3,0,0,0,3400,54069,1,1,1.5,1
1,1,1,2,63,0,00110.jpg,2,2,0,1,1,3500,60659,1,1,1.5,1
1,1,1,2,64,0,01111.jpg,2,2,0,1,1,3600,17657,1,1,1.5,1
1,1,1,3,65,0,10011.jpg,2,2,0,1,1,3700,20814,1,1,1.5,1
1,1,1,3,66,0,01010.jpg,2,2,0,1,1,3800,18495,1,1,1.5,1
1,1,1,3,67,0,11100.jpg,3,3,1,0,1,3900,12403,1,1,1.5,1
1,1,1,3,68,0,10111.jpg,4,4,1,1,1,4000,4996,1,1,1.5,1
1,1,1,3,69,0,01000.jpg,1,1,0,0,1,4100,4204,1,1,1.5,1
1,1,1,3,70,0,01110.jpg,2,2,0,1,1,4200,4941,1,1,1.5,1
1,1,1,3,71,0,01110.jpg,2,2,0,1,1,4300,3336,1,1,1.5,1
1,1,1,3,72,0,11000.jpg,1,1,0,0,1,4400,5723,1,1,1.5,1
1,1,1,3,73,0,00010.jpg,2,2,0,1,1,4500,5319,1,1,1.5,1
1,1,1,3,74,0,11110.jpg,4,4,1,1,1,4600,5435,1,1,1.5,1
1,1,1,3,75,0,01001.jpg,1,1,0,0,1,4700,3034,1,1,1.5,1
1,1,1,3,76,0,00001.jpg,1,1,0,0,1,4800,5330,1,1,1.5,1
1,1,1,3,77,0,01101.jpg,1,1,0,0,1,4900,2829,1,1,1.5,1
1,1,1,3,78,0,10001.jpg,1,1,0,0,1,5000,7957,1,1,1.5,1
1,1,1,3,79,0,00100.jpg,1,1,0,0,1,5100,6078,1,1,1.5,1
1,1,1,3,80,0,11100.jpg,3,3,1,0,1,5200,5030,1,1,1.5,1
1,1,1,3,81,0,00111.jpg,2,2,0,1,1,5300,5037,1,1,1.5,1
1,1,1,3,82,0,00011.jpg,2,2,0,1,1,5400,3428,1,1,1.5,1
1,1,1,3,83,0,11101.jpg,3,3,1,0,1,5500,3563,1,1,1.5,1
1,1,1,3,84,0,11000.jpg,1,1,0,0,1,5600,3782,1,1,1.5,1
1,1,1,3,85,0,01100.jpg,1,1,0,0,1,5700,2465,1,1,1.5,1
1,1,1,3,86,0,10110.jpg,4,4,1,1,1,5800,3423,1,1,1.5,1
1,1,1,3,87,0,10000.jpg,1,1,0,0,1,5900,4750,1,1,1.5,1
1,1,1,3,88,0,00110.jpg,2,2,0,1,1,6000,3448,1,1,1.5,1
1,1,1,3,89,0,01101.jpg,1,1,0,0,1,6100,4320,1,1,1.5,1
1,1,1,3,90,0,10011.jpg,2,2,0,1,1,6200,3380,1,1,1.5,1
1,1,1,3,91,0,11000.jpg,1,1,0,0,1,6300,2901,1,1,1.5,1
1,1,1,3,92,0,11100.jpg,3,3,1,0,1,6400,2809,1,1,1.5,1
1,1,1,3,93,0,00010.jpg,2,2,0,1,1,6500,4154,1,1,1.5,1
1,1,1,3,94,0,11001.jpg,1,1,0,0,1,6600,3542,1,1,1.5,1
1,1,1,3,95,0,11001.jpg,1,1,0,0,1,6700,3097,1,1,1.5,1
1,1,1,3,96,0,11111.jpg,4,4,1,1,1,6800,4790,1,1,1.5,1
1,1,1,0,97,1,11110pt.jpg,4,3,1,1,0,6800,8667,1,1,1.5,1
1,1,1,0,98,1,00101pt.jpg,1,2,0,0,0,6800,13103,1,1,1.5,1
1,1,1,0,99,1,00111pt.jpg,2,1,0,1,0,6800,45687,1,1,1.5,1
1,1,1,0,100,1,11111pt.jpg,4,1,1,1,0,6800,57337,1,1,1.5,1
1,1,1,0,101,1,11011pt.jpg,2,1,0,1,0,6800,76137,1,1,1.5,1
1,1,1,0,102,1,01000pt.jpg,1,2,0,0,0,6800,77833,1,1,1.5,1
1,1,1,0,103,1,01010pt.jpg,2,2,0,1,1,6800,83886,1,1,1.5,1
1,1,1,0,104,1,10101pt.jpg,3,3,1,0,1,6800,72423,1,1,1.5,1
1,1,2,1,1,0,01010.jpg,3,2,1,0,0,-100,23571,1,1,1.5,1
1,1,2,1,2,0,00110.jpg,3,2,1,0,0,-200,51062,1,1,1.5,1
1,1,2,1,3,0,10110.jpg,4,4,1,1,1,-100,16388,1,1,1.5,1
1,1,2,1,4,0,11100.jpg,2,1,0,1,0,-200,13220,1,1,1.5,1
1,1,2,1,5,0,00010.jpg,3,3,1,0,1,-100,29532,1,1,1.5,1
1,1,2,1,6,0,11000.jpg,2,2,0,1,1,0,34159,1,1,1.5,1
1,1,2,1,7,0,11001.jpg,2,2,0,1,1,100,15562,1,1,1.5,1
1,1,2,1,8,0,11001.jpg,2,2,0,1,1,200,5332,1,1,1.5,1
1,1,2,1,9,0,01111.jpg,4,1,1,1,0,100,20383,1,1,1.5,1
1,1,2,1,10,0,10011.jpg,3,2,1,0,0,0,108246,1,1,1.5,1
1,1,2,1,11,0,01101.jpg,2,3,0,1,0,-100,76723,1,1,1.5,1
1,1,2,1,12,0,10110.jpg,4,2,1,1,0,-200,110135,1,1,1.5,1
1,1,2,1,13,0,01000.jpg,1,1,0,0,1,-100,10728,1,1,1.5,1
1,1,2,1,14,0,11010.jpg,4,2,1,1,0,-200,12845,1,1,1.5,1
1,1,2,1,15,0,00110.jpg,3,2,1,0,0,-300,69785,1,1,1.5,1
1,1,2,1,16,0,11011.jpg,4,2,1,1,0,-400,46210,1,1,1.5,1
1,1,2,1,17,0,11101.jpg,2,2,0,1,1,-300,16825,1,1,1.5,1
1,1,2,1,18,0,01011.jpg,3,3,1,0,1,-200,4879,1,1,1.5,1
1,1,2,1,19,0,01011.jpg,3,3,1,0,1,-100,15302,1,1,1.5,1
1,1,2,1,20,0,00001.jpg,1,1,0,0,1,0,12475,1,1,1.5,1
1,1,2,1,21,0,00101.jpg,1,1,0,0,1,100,22497,1,1,1.5,1
1,1,2,1,22,0,00011.jpg,3,3,1,0,1,200,3238,1,1,1.5,1
1,1,2,1,23,0,01000.jpg,1,1,0,0,1,300,2222,1,1,1.5,1
1,1,2,1,24,0,10111.jpg,4,4,1,1,1,400,3038,1,1,1.5,1
1,1,2,1,25,0,00110.jpg,3,3,1,0,1,500,4364,1,1,1.5,1
1,1,2,1,26,0,00100.jpg,1,1,0,0,1,600,5910,1,1,1.5,1
1,1,2,1,27,0,10010.jpg,3,4,1,0,0,500,7164,1,1,1.5,1
1,1,2,1,28,0,10000.jpg,1,2,0,0,0,400,79701,1,1,1.5,1
1,1,2,1,29,0,11010.jpg,4,4,1,1,1,500,8937,1,1,1.5,1
1,1,2,1,30,0,10100.jpg,2,1,0,1,0,400,8691,1,1,1.5,1
1,1,2,1,31,0,11011.jpg,4,4,1,1,1,500,23961,1,1,1.5,1
1,1,2,1,32,0,11110.jpg,4,4,1,1,1,600,51009,1,1,1.5,1
1,1,2,2,33,0,00010.jpg,3,3,1,0,1,700,12465,1,1,1.5,1
1,1,2,2,34,0,00000.jpg,1,1,0,0,1,800,4495,1,1,1.5,1
1,1,2,2,35,0,10011.jpg,3,3,1,0,1,900,9485,1,1,1.5,1
1,1,2,2,36,0,10101.jpg,2,1,0,1,0,800,30019,1,1,1.5,1
1,1,2,2,37,0,00100.jpg,1,1,0,0,1,900,33075,1,1,1.5,1
1,1,2,2,38,0,11110.jpg,4,4,1,1,1,1000,8857,1,1,1.5,1
1,1,2,2,39,0,10111.jpg,4,4,1,1,1,1100,28829,1,1,1.5,1
1,1,2,2,40,0,01010.jpg,3,3,1,0,1,1200,9636,1,1,1.5,1
1,1,2,2,41,0,01110.jpg,4,3,1,1,0,1100,6052,1,1,1.5,1
1,1,2,2,42,0,11100.jpg,2,2,0,1,1,1200,42280,1,1,1.5,1
1,1,2,2,43,0,11000.jpg,2,2,0,1,1,1300,8430,1,1,1.5,1
1,1,2,2,44,0,00101.jpg,1,1,0,0,1,1400,57966,1,1,1.5,1
1,1,2,2,45,0,01111.jpg,4,3,1,1,0,1300,3143,1,1,1.5,1
1,1,2,2,46,0,11000.jpg,2,2,0,1,1,1400,7249,1,1,1.5,1
1,1,2,2,47,0,10000.jpg,1,1,0,0,1,1500,7671,1,1,1.5,1
1,1,2,2,48,0,11111.jpg,4,4,1,1,1,1600,4814,1,1,1.5,1
1,1,2,2,49,0,11010.jpg,4,4,1,1,1,1700,4188,1,1,1.5,1
1,1,2,2,50,0,01100.jpg,2,2,0,1,1,1800,5917,1,1,1.5,1
1,1,2,2,51,0,00011.jpg,3,3,1,0,1,1900,3784,1,1,1.5,1
1,1,2,2,52,0,11111.jpg,4,4,1,1,1,2000,3914,1,1,1.5,1
1,1,2,2,53,0,01101.jpg,2,2,0,1,1,2100,3382,1,1,1.5,1
1,1,2,2,54,0,11110.jpg,4,4,1,1,1,2200,2126,1,1,1.5,1
1,1,2,2,55,0,00111.jpg,3,3,1,0,1,2300,3666,1,1,1.5,1
1,1,2,2,56,0,10101.jpg,2,2,0,1,1,2400,3032,1,1,1.5,1
1,1,2,2,57,0,00010.jpg,3,3,1,0,1,2500,2479,1,1,1.5,1
1,1,2,2,58,0,10100.jpg,2,2,0,1,1,2600,1942,1,1,1.5,1
1,1,2,2,59,0,01001.jpg,1,1,0,0,1,2700,2609,1,1,1.5,1
1,1,2,2,60,0,00100.jpg,1,1,0,0,1,2800,2137,1,1,1.5,1
1,1,2,2,61,0,01001.jpg,1,1,0,0,1,2900,1493,1,1,1.5,1
1,1,2,2,62,0,11101.jpg,2,2,0,1,1,3000,3377,1,1,1.5,1
1,1,2,2,63,0,01000.jpg,1,1,0,0,1,3100,2259,1,1,1.5,1
1,1,2,2,64,0,11111.jpg,4,4,1,1,1,3200,2866,1,1,1.5,1
1,1,2,3,65,0,10001.jpg,1,1,0,0,1,3300,4519,1,1,1.5,1
1,1,2,3,66,0,00001.jpg,1,1,0,0,1,3400,2059,1,1,1.5,1
1,1,2,3,67,0,01101.jpg,2,2,0,1,1,3500,2858,1,1,1.5,1
1,1,2,3,68,0,10001.jpg,1,1,0,0,1,3600,2896,1,1,1.5,1
1,1,2,3,69,0,10000.jpg,1,1,0,0,1,3700,1822,1,1,1.5,1
1,1,2,3,70,0,10011.jpg,3,3,1,0,1,3800,2702,1,1,1.5,1
1,1,2,3,71,0,01010.jpg,3,3,1,0,1,3900,3875,1,1,1.5,1
1,1,2,3,72,0,00111.jpg,3,3,1,0,1,4000,2545,1,1,1.5,1
1,1,2,3,73,0,10010.jpg,3,3,1,0,1,4100,2389,1,1,1.5,1
1,1,2,3,74,0,10101.jpg,2,2,0,1,1,4200,3527,1,1,1.5,1
1,1,2,3,75,0,01100.jpg,2,2,0,1,1,4300,2010,1,1,1.5,1
1,1,2,3,76,0,01110.jpg,4,4,1,1,1,4400,6139,1,1,1.5,1
1,1,2,3,77,0,00101.jpg,1,1,0,0,1,4500,2724,1,1,1.5,1
1,1,2,3,78,0,11101.jpg,2,2,0,1,1,4600,4449,1,1,1.5,1
1,1,2,3,79,0,11011.jpg,4,4,1,1,1,4700,2615,1,1,1.5,1
1,1,2,3,80,0,11001.jpg,2,2,0,1,1,4800,1934,1,1,1.5,1
1,1,2,3,81,0,10100.jpg,2,2,0,1,1,4900,3218,1,1,1.5,1
1,1,2,3,82,0,01011.jpg,3,3,1,0,1,5000,2801,1,1,1.5,1
1,1,2,3,83,0,01100.jpg,2,2,0,1,1,5100,2435,1,1,1.5,1
1,1,2,3,84,0,01110.jpg,4,4,1,1,1,5200,2810,1,1,1.5,1
1,1,2,3,85,0,00111.jpg,3,3,1,0,1,5300,2895,1,1,1.5,1
1,1,2,3,86,0,01001.jpg,1,1,0,0,1,5400,3206,1,1,1.5,1
1,1,2,3,87,0,10110.jpg,4,4,1,1,1,5500,3181,1,1,1.5,1
1,1,2,3,88,0,00000.jpg,1,1,0,0,1,5600,3294,1,1,1.5,1
1,1,2,3,89,0,00000.jpg,1,1,0,0,1,5700,1794,1,1,1.5,1
1,1,2,3,90,0,00001.jpg,1,1,0,0,1,5800,1396,1,1,1.5,1
1,1,2,3,91,0,10010.jpg,3,3,1,0,1,5900,4414,1,1,1.5,1
1,1,2,3,92,0,00011.jpg,3,3,1,0,1,6000,1821,1,1,1.5,1
1,1,2,3,93,0,10001.jpg,1,1,0,0,1,6100,4255,1,1,1.5,1
1,1,2,3,94,0,10111.jpg,4,4,1,1,1,6200,4382,1,1,1.5,1
1,1,2,3,95,0,01111.jpg,4,4,1,1,1,6300,5174,1,1,1.5,1
1,1,2,3,96,0,11100.jpg,2,2,0,1,1,6400,5615,1,1,1.5,1
1,1,2,0,97,1,10101pt.jpg,2,2,0,1,1,6400,5615,1,1,1.5,1
1,1,2,0,98,1,11110pt.jpg,4,4,1,1,1,6400,5615,1,1,1.5,1
1,1,2,0,99,1,11011pt.jpg,4,4,1,1,1,6400,5615,1,1,1.5,1
1,1,2,0,100,1,01000pt.jpg,1,1,0,0,1,6400,5615,1,1,1.5,1
1,1,2,0,101,1,11111pt.jpg,4,4,1,1,1,6400,5615,1,1,1.5,1
1,1,2,0,102,1,00101pt.jpg,1,1,0,0,1,6400,5615,1,1,1.5,1
1,1,2,0,103,1,01010pt.jpg,3,3,1,0,1,6400,5615,1,1,1.5,1
1,1,2,0,104,1,00111pt.jpg,3,3,1,0,1,6400,5615,1,1,1.5,1
1,1,3,1,1,0,01101.jpg,2,1,0,1,0,-100,33737,1,1,1.5,1
1,1,3,1,2,0,10100.jpg,1,3,0,0,0,-200,13180,1,1,1.5,1
1,1,3,1,3,0,10100.jpg,1,1,0,0,1,-100,4142,1,1,1.5,1
1,1,3,1,4,0,00110.jpg,1,2,0,0,0,-200,40488,1,1,1.5,1
1,1,3,1,5,0,00000.jpg,1,2,0,0,0,-300,36548,1,1,1.5,1
1,1,3,1,6,0,11000.jpg,1,3,0,0,0,-400,14287,1,1,1.5,1
1,1,3,1,7,0,11011.jpg,4,3,1,1,0,-500,18661,1,1,1.5,1
1,1,3,1,8,0,10000.jpg,1,1,0,0,1,-400,48134,1,1,1.5,1
1,1,3,1,9,0,10010.jpg,1,3,0,0,0,-500,18259,1,1,1.5,1
1,1,3,1,10,0,00011.jpg,3,4,1,0,0,-600,16737,1,1,1.5,1
1,1,3,1,11,0,10011.jpg,3,3,1,0,1,-500,31539,1,1,1.5,1
1,1,3,1,12,0,11111.jpg,4,4,1,1,1,-400,23815,1,1,1.5,1
1,1,3,1,13,0,01100.jpg,2,1,0,1,0,-500,13790,1,1,1.5,1
1,1,3,1,14,0,01110.jpg,2,2,0,1,1,-400,7087,1,1,1.5,1
1,1,3,1,15,0,01010.jpg,1,1,0,0,1,-300,6333,1,1,1.5,1
1,1,3,1,16,0,01110.jpg,2,2,0,1,1,-200,3321,1,1,1.5,1
1,1,3,1,17,0,01100.jpg,2,2,0,1,1,-100,1820,1,1,1.5,1
1,1,3,1,18,0,01001.jpg,1,3,0,0,0,-200,3565,1,1,1.5,1
1,1,3,1,19,0,01001.jpg,1,1,0,0,1,-100,7582,1,1,1.5,1
1,1,3,1,20,0,01000.jpg,1,1,0,0,1,0,4017,1,1,1.5,1
1,1,3,1,21,0,10011.jpg,3,3,1,0,1,100,19873,1,1,1.5,1
1,1,3,1,22,0,00101.jpg,1,2,0,0,0,0,18536,1,1,1.5,1
1,1,3,1,23,0,11101.jpg,2,4,0,1,0,-100,26715,1,1,1.5,1
1,1,3,1,24,0,00111.jpg,3,1,1,0,0,-200,12694,1,1,1.5,1
1,1,3,1,25,0,11011.jpg,4,1,1,1,0,-300,13259,1,1,1.5,1
1,1,3,1,26,0,11110.jpg,2,2,0,1,1,-200,13216,1,1,1.5,1
1,1,3,1,27,0,01010.jpg,1,1,0,0,1,-100,15816,1,1,1.5,1
1,1,3,1,28,0,11101.jpg,2,1,0,1,0,-200,27288,1,1,1.5,1
1,1,3,1,29,0,11100.jpg,2,2,0,1,1,-100,61891,1,1,1.5,1
1,1,3,1,30,0,10101.jpg,2,1,0,1,0,-200,10018,1,1,1.5,1
1,1,3,1,31,0,00010.jpg,1,1,0,0,1,-100,42770,1,1,1.5,1
1,1,3,1,32,0,10101.jpg,2,2,0,1,1,0,5539,1,1,1.5,1
1,1,3,2,33,0,11001.jpg,2,2,0,1,1,100,3040,1,1,1.5,1
1,1,3,2,34,0,00101.jpg,1,1,0,0,1,200,4086,1,1,1.5,1
1,1,3,2,35,0,11000.jpg,1,2,0,0,0,100,3579,1,1,1.5,1
1,1,3,2,36,0,01101.jpg,2,2,0,1,1,200,8492,1,1,1.5,1
1,1,3,2,37,0,10001.jpg,1,1,0,0,1,300,4538,1,1,1.5,1
1,1,3,2,38,0,00001.jpg,1,1,0,0,1,400,5821,1,1,1.5,1
1,1,3,2,39,0,11010.jpg,2,3,0,1,0,300,21677,1,1,1.5,1
1,1,3,2,40,0,00011.jpg,3,1,1,0,0,200,16322,1,1,1.5,1
1,1,3,2,41,0,01101.jpg,2,2,0,1,1,300,14382,1,1,1.5,1
1,1,3,2,42,0,01111.jpg,4,2,1,1,0,200,4782,1,1,1.5,1
1,1,3,2,43,0,11110.jpg,2,2,0,1,1,300,13630,1,1,1.5,1
1,1,3,2,44,0,11100.jpg,2,2,0,1,1,400,4423,1,1,1.5,1
1,1,3,2,45,0,01111.jpg,4,4,1,1,1,500,8237,1,1,1.5,1
1,1,3,2,46,0,00110.jpg,1,3,0,0,0,400,26996,1,1,1.5,1
1,1,3,2,47,0,00100.jpg,1,1,0,0,1,500,6004,1,1,1.5,1
1,1,3,2,48,0,10010.jpg,1,1,0,0,1,600,4637,1,1,1.5,1
1,1,3,2,49,0,10011.jpg,3,1,1,0,0,500,2525,1,1,1.5,1
1,1,3,2,50,0,11111.jpg,4,4,1,1,1,600,7519,1,1,1.5,1
1,1,3,2,51,0,00000.jpg,1,1,0,0,1,700,11346,1,1,1.5,1
1,1,3,2,52,0,00101.jpg,1,1,0,0,1,800,8405,1,1,1.5,1
1,1,3,2,53,0,00100.jpg,1,1,0,0,1,900,5949,1,1,1.5,1
1,1,3,2,54,0,01111.jpg,4,4,1,1,1,1000,4009,1,1,1.5,1
1,1,3,2,55,0,10100.jpg,1,2,0,0,0,900,17481,1,1,1.5,1
1,1,3,2,56,0,00011.jpg,3,3,1,0,1,1000,10213,1,1,1.5,1
1,1,3,2,57,0,00111.jpg,3,3,1,0,1,1100,3677,1,1,1.5,1
1,1,3,2,58,0,11010.jpg,2,2,0,1,1,1200,7435,1,1,1.5,1
1,1,3,2,59,0,01011.jpg,3,3,1,0,1,1300,8698,1,1,1.5,1
1,1,3,2,60,0,00110.jpg,1,1,0,0,1,1400,3968,1,1,1.5,1
1,1,3,2,61,0,00010.jpg,1,1,0,0,1,1500,2483,1,1,1.5,1
1,1,3,2,62,0,00001.jpg,1,1,0,0,1,1600,6191,1,1,1.5,1
1,1,3,2,63,0,01110.jpg,2,2,0,1,1,1700,5560,1,1,1.5,1
1,1,3,2,64,0,10010.jpg,1,1,0,0,1,1800,3534,1,1,1.5,1
1,1,3,3,65,0,10101.jpg,2,1,0,1,0,1700,5930,1,1,1.5,1
1,1,3,3,66,0,11101.jpg,2,2,0,1,1,1800,4773,1,1,1.5,1
1,1,3,3,67,0,01000.jpg,1,1,0,0,1,1900,9335,1,1,1.5,1
1,1,3,3,68,0,11011.jpg,4,4,1,1,1,2000,4948,1,1,1.5,1
1,1,3,3,69,0,01001.jpg,1,1,0,0,1,2100,12092,1,1,1.5,1
1,1,3,3,70,0,00111.jpg,3,3,1,0,1,2200,2843,1,1,1.5,1
1,1,3,3,71,0,10111.jpg,4,3,1,1,0,2100,7825,1,1,1.5,1
1,1,3,3,72,0,10000.jpg,1,1,0,0,1,2200,13279,1,1,1.5,1
1,1,3,3,73,0,11001.jpg,2,2,0,1,1,2300,5877,1,1,1.5,1
1,1,3,3,74,0,10000.jpg,1,1,0,0,1,2400,6698,1,1,1.5,1
1,1,3,3,75,0,00001.jpg,1,1,0,0,1,2500,2944,1,1,1.5,1
1,1,3,3,76,0,10110.jpg,2,2,0,1,1,2600,14596,1,1,1.5,1
1,1,3,3,77,0,11000.jpg,1,2,0,0,0,2500,8853,1,1,1.5,1
1,1,3,3,78,0,10111.jpg,4,4,1,1,1,2600,11073,1,1,1.5,1
1,1,3,3,79,0,01011.jpg,3,3,1,0,1,2700,4911,1,1,1.5,1
1,1,3,3,80,0,01000.jpg,1,1,0,0,1,2800,1723,1,1,1.5,1
1,1,3,3,81,0,00000.jpg,1,1,0,0,1,2900,1815,1,1,1.5,1
1,1,3,3,82,0,00100.jpg,1,1,0,0,1,3000,3384,1,1,1.5,1
1,1,3,3,83,0,10111.jpg,4,4,1,1,1,3100,3658,1,1,1.5,1
1,1,3,3,84,0,10110.jpg,2,2,0,1,1,3200,4433,1,1,1.5,1
1,1,3,3,85,0,01100.jpg,2,2,0,1,1,3300,7534,1,1,1.5,1
1,1,3,3,86,0,11010.jpg,2,2,0,1,1,3400,6177,1,1,1.5,1
1,1,3,3,87,0,01011.jpg,3,3,1,0,1,3500,2739,1,1,1.5,1
1,1,3,3,88,0,01010.jpg,1,1,0,0,1,3600,2609,1,1,1.5,1
1,1,3,3,89,0,00010.jpg,1,1,0,0,1,3700,3960,1,1,1.5,1
1,1,3,3,90,0,10001.jpg,1,1,0,0,1,3800,3923,1,1,1.5,1
1,1,3,3,91,0,11111.jpg,4,4,1,1,1,3900,2974,1,1,1.5,1
1,1,3,3,92,0,11110.jpg,2,2,0,1,1,4000,3279,1,1,1.5,1
1,1,3,3,93,0,11100.jpg,2,2,0,1,1,4100,3197,1,1,1.5,1
1,1,3,3,94,0,10001.jpg,1,1,0,0,1,4200,3709,1,1,1.5,1
1,1,3,3,95,0,11001.jpg,2,1,0,1,0,4100,2266,1,1,1.5,1
1,1,3,3,96,0,10110.jpg,2,2,0,1,1,4200,3360,1,1,1.5,1
1,1,3,0,97,1,01010pt.jpg,1,1,0,0,1,4200,3360,1,1,1.5,1
1,1,3,0,98,1,11110pt.jpg,2,2,0,1,1,4200,3360,1,1,1.5,1
1,1,3,0,99,1,10101pt.jpg,2,2,0,1,1,4200,3360,1,1,1.5,1
1,1,3,0,100,1,11111pt.jpg,4,4,1,1,1,4200,3360,1,1,1.5,1
